sample_id,data_path,Production_Quality,Production_Complexity,Content_Enjoyment,Content_Usefulness
audiomos2025-track2-audio-unbalanced_train_segments_audio_-6FLs0P1KaQ_30000_40000,/your_path/unbalanced_train_segments/audio/-6FLs0P1KaQ_30000_40000.flac,5.0,3.3,2.9,4.2
audiomos2025-track2-audio-unbalanced_train_segments_audio_-9VPvTfV1_4_50000_60000,/your_path/unbalanced_train_segments/audio/-9VPvTfV1_4_50000_60000.flac,6.5,4.1,5.1,5.0
audiomos2025-track2-audio-unbalanced_train_segments_audio_-A04KunsQsI_20000_30000,/your_path/unbalanced_train_segments/audio/-A04KunsQsI_20000_30000.flac,7.1,3.6,5.6,5.0
audiomos2025-track2-audio-unbalanced_train_segments_audio_-BJNMHMZDcU_50000_60000,/your_path/unbalanced_train_segments/audio/-BJNMHMZDcU_50000_60000.flac,5.3,2.9,2.8,6.1
audiomos2025-track2-audio-unbalanced_train_segments_audio_-JlxVX2RntI_50000_60000,/your_path/unbalanced_train_segments/audio/-JlxVX2RntI_50000_60000.flac,5.6,3.1,2.6,3.8
audiomos2025-track2-audio-unbalanced_train_segments_audio_-NO2z0vcBsA_200000_210000,/your_path/unbalanced_train_segments/audio/-NO2z0vcBsA_200000_210000.flac,5.8,5.0,3.9,6.7
audiomos2025-track2-audio-unbalanced_train_segments_audio_-Qhlovzur8A_30000_40000,/your_path/unbalanced_train_segments/audio/-Qhlovzur8A_30000_40000.flac,3.0,2.6,1.5,2.3
audiomos2025-track2-audio-unbalanced_train_segments_audio_-XFeCEp5Vks_30000_40000,/your_path/unbalanced_train_segments/audio/-XFeCEp5Vks_30000_40000.flac,7.5,2.8,4.5,6.8
audiomos2025-track2-audio-unbalanced_train_segments_audio_-XWKBlghyiE_30000_40000,/your_path/unbalanced_train_segments/audio/-XWKBlghyiE_30000_40000.flac,4.7,2.1,2.1,3.5
audiomos2025-track2-audio-unbalanced_train_segments_audio_-_mJl31MZtI_10000_20000,/your_path/unbalanced_train_segments/audio/-_mJl31MZtI_10000_20000.flac,4.7,4.4,3.9,3.7
audiomos2025-track2-audio-unbalanced_train_segments_audio_-cE1-JmqWOk_30000_40000,/your_path/unbalanced_train_segments/audio/-cE1-JmqWOk_30000_40000.flac,4.5,3.0,1.6,4.0
audiomos2025-track2-audio-unbalanced_train_segments_audio_-kA0eFuQ4HA_400000_410000,/your_path/unbalanced_train_segments/audio/-kA0eFuQ4HA_400000_410000.flac,6.3,3.3,4.5,5.4
audiomos2025-track2-audio-unbalanced_train_segments_audio_-mDWDJdOKa8_20000_30000,/your_path/unbalanced_train_segments/audio/-mDWDJdOKa8_20000_30000.flac,6.4,3.5,5.1,5.7
audiomos2025-track2-audio-unbalanced_train_segments_audio_-r7foRuzOuc_70000_80000,/your_path/unbalanced_train_segments/audio/-r7foRuzOuc_70000_80000.flac,6.5,2.9,4.5,5.4
audiomos2025-track2-audio-unbalanced_train_segments_audio_-w9OfpoUyiI_230000_240000,/your_path/unbalanced_train_segments/audio/-w9OfpoUyiI_230000_240000.flac,6.1,3.9,6.0,5.9
audiomos2025-track2-audio-unbalanced_train_segments_audio_-xkYpECrhh4_150000_160000,/your_path/unbalanced_train_segments/audio/-xkYpECrhh4_150000_160000.flac,4.6,2.7,2.7,3.5
audiomos2025-track2-audio-unbalanced_train_segments_audio_009GwYB4Z7k_30000_40000,/your_path/unbalanced_train_segments/audio/009GwYB4Z7k_30000_40000.flac,6.7,3.9,5.7,6.3
audiomos2025-track2-audio-unbalanced_train_segments_audio_04bb9JEoHpI_0_10000,/your_path/unbalanced_train_segments/audio/04bb9JEoHpI_0_10000.flac,7.7,5.1,5.3,6.6
audiomos2025-track2-audio-unbalanced_train_segments_audio_08WQJD_nLxg_80000_90000,/your_path/unbalanced_train_segments/audio/08WQJD_nLxg_80000_90000.flac,5.2,2.4,2.6,3.3
audiomos2025-track2-audio-unbalanced_train_segments_audio_0D2M1goimhc_10000_20000,/your_path/unbalanced_train_segments/audio/0D2M1goimhc_10000_20000.flac,4.6,2.9,2.7,4.9
audiomos2025-track2-audio-unbalanced_train_segments_audio_0UnibMux_ac_40000_50000,/your_path/unbalanced_train_segments/audio/0UnibMux_ac_40000_50000.flac,6.4,1.8,4.5,5.4
audiomos2025-track2-audio-unbalanced_train_segments_audio_0Usjo69Rrps_0_10000,/your_path/unbalanced_train_segments/audio/0Usjo69Rrps_0_10000.flac,7.1,4.5,5.7,7.4
audiomos2025-track2-audio-unbalanced_train_segments_audio_0WBnq7Kv0_Y_20000_30000,/your_path/unbalanced_train_segments/audio/0WBnq7Kv0_Y_20000_30000.flac,5.1,2.6,3.6,3.5
audiomos2025-track2-audio-unbalanced_train_segments_audio_0WmC5VIaXrE_60000_70000,/your_path/unbalanced_train_segments/audio/0WmC5VIaXrE_60000_70000.flac,4.0,4.4,2.2,3.5
audiomos2025-track2-audio-unbalanced_train_segments_audio_0e_oU_40JWg_30000_40000,/your_path/unbalanced_train_segments/audio/0e_oU_40JWg_30000_40000.flac,4.7,4.6,2.6,4.0
audiomos2025-track2-audio-unbalanced_train_segments_audio_0fmK-8dyOog_210000_220000,/your_path/unbalanced_train_segments/audio/0fmK-8dyOog_210000_220000.flac,6.2,4.8,4.9,4.4
audiomos2025-track2-audio-unbalanced_train_segments_audio_0hWfvvWbjek_260000_270000,/your_path/unbalanced_train_segments/audio/0hWfvvWbjek_260000_270000.flac,5.0,5.4,3.1,4.6
audiomos2025-track2-audio-unbalanced_train_segments_audio_0lOQKW3I0N4_150000_160000,/your_path/unbalanced_train_segments/audio/0lOQKW3I0N4_150000_160000.flac,4.9,3.2,2.8,5.3
