filepath,PQ
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00000.wav,7.354022434779575
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00001.wav,6.446569987705776
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00002.wav,7.4651152747018
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00003.wav,5.302884238106865
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00004.wav,7.641634259905134
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00005.wav,5.383024215698242
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00006.wav,7.086247716631208
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00007.wav,4.676752090454102
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00008.wav,8.006654466901507
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00009.wav,4.105081558227539
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00010.wav,8.04210730961391
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00011.wav,5.829433032444546
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00012.wav,8.11652387891497
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00013.wav,5.856365476335798
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00014.wav,8.774303708757673
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00015.wav,5.780004773821149
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00016.wav,9.114690508161273
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00017.wav,6.3122422354561945
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00018.wav,7.11841378893171
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00019.wav,4.887962341308594
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00020.wav,8.417904717581612
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00021.wav,5.522682326180595
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00022.wav,8.553041730608259
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00023.wav,5.814469882420132
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00024.wav,7.580961499895368
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00025.wav,5.88890620640346
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00026.wav,8.126333781651088
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00027.wav,4.87429073878697
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00028.wav,7.672007424490792
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00029.wav,5.454636301313128
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00030.wav,8.071061543055944
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00031.wav,5.715093612670898
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00032.wav,7.938669749668667
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00033.wav,7.264527593340192
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00034.wav,8.08786051613944
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00035.wav,5.44562544141497
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00036.wav,8.205945151192802
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00037.wav,5.173500605991909
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00038.wav,8.721312114170619
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00039.wav,4.589899608067104
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00040.wav,7.739450590951103
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00041.wav,4.288771493094308
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00042.wav,7.532978057861328
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00043.wav,5.304455075945173
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00044.wav,7.983378001621792
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00045.wav,5.761069570268903
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00046.wav,7.474301883152553
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00047.wav,4.227570125034878
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00048.wav,7.5455250058855325
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00049.wav,4.846536091395786
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00050.wav,7.972423008510044
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00051.wav,5.586184092930385
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00052.wav,8.060416494097028
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00053.wav,4.4762693132673
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00054.wav,7.39081723349435
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00055.wav,5.202220508030483
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00056.wav,8.080319677080427
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00057.wav,6.096973419189453
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00058.wav,6.6104827608381
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00059.wav,4.690040860857282
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00060.wav,7.681972639901298
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00061.wav,6.176417895725796
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00062.wav,7.794205120631626
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00063.wav,6.219057355608259
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00064.wav,7.709400313241142
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00065.wav,6.3136298315865655
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00066.wav,8.074030876159668
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00067.wav,5.936700275966099
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00068.wav,7.683655193873814
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00069.wav,6.925317219325474
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00070.wav,7.87088121686663
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00071.wav,7.067604064941406
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00072.wav,8.154901776994977
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00073.wav,6.796026229858398
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00074.wav,8.174317904881068
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00075.wav,6.513511793954033
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00076.wav,7.343438693455288
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00077.wav,5.439082554408482
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00078.wav,7.993326187133789
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00079.wav,5.599404743739536
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00080.wav,7.808500698634556
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00081.wav,7.046745845249721
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00082.wav,7.504356929234096
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00083.wav,6.066369329180036
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00084.wav,7.583340917314802
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00085.wav,5.6365156173706055
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00086.wav,8.416448320661273
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00087.wav,6.170617512294224
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00088.wav,8.405750819614955
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00089.wav,6.153059005737305
