filepath,ground_truth,predicted,abs_error
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00516.wav,7.644017083304268,7.771960258483887,0.1279431751796185
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 07826.wav,7.605949810573032,7.522761344909668,0.08318846566336369
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 06423.wav,7.263485363551548,7.206794738769531,0.05669062478201692
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 21757.wav,5.170927728925433,5.511989593505859,0.34106186458042664
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 03073.wav,5.4600661141531805,5.317959785461426,0.14210632869175477
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 03639.wav,6.446810449872698,6.462531089782715,0.015720639910016487
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 13872.wav,7.509927749633789,7.552942276000977,0.0430145263671875
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 19398.wav,8.125292233058385,8.082242012023926,0.04305022103445921
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 11886.wav,7.791398593357631,7.780543327331543,0.010855266026087662
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 01512.wav,8.906210490635463,8.797513961791992,0.10869652884347047
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 17231.wav,5.595295769827706,5.635593414306641,0.04029764447893491
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 22879.wav,5.7180997303554,5.619392395019531,0.0987073353358685
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 13988.wav,8.44203335898263,8.446263313293457,0.0042299543108264
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 20580.wav,7.555437088012695,7.648954391479492,0.09351730346679688
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 03668.wav,8.512825965881348,8.59518814086914,0.08236217498779297
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 16764.wav,8.024599211556572,8.01071834564209,0.013880865914481788
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 12465.wav,7.298883029392788,7.220648765563965,0.07823426382882293
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 01052.wav,9.09301485334124,9.199247360229492,0.10623250688825259
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 10906.wav,7.826083728245327,7.957860946655273,0.1317772184099466
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 10309.wav,5.607979638235909,5.485029220581055,0.12295041765485415
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 06232.wav,8.147875922066826,8.18392562866211,0.03604970659528384
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 22053.wav,6.310388701302665,6.268048286437988,0.0423404148646771
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 22567.wav,6.944356645856585,6.975193977355957,0.030837331499371956
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 03806.wav,8.14047268458775,8.151342391967773,0.010869707380022575
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 07306.wav,7.659033366612026,7.769173622131348,0.1101402555193216
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 05211.wav,6.306078774588448,6.333917617797852,0.027838843209403663
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 11311.wav,5.896044458661761,5.941956520080566,0.04591206141880555
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 21618.wav,8.121705736432757,8.170276641845703,0.048570905412946175
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 19937.wav,6.651627676827568,6.0368242263793945,0.6148034504481732
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 21377.wav,5.87688650403704,5.832760810852051,0.0441256931849896
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 04159.wav,6.7463820321219305,6.725986480712891,0.020395551409039925
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 18319.wav,5.593036242893764,5.573521614074707,0.0195146288190573
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 00696.wav,7.270112037658691,7.339811325073242,0.06969928741455078
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 14992.wav,7.376446723937988,7.334615707397461,0.041831016540527344
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 18760.wav,8.2304048538208,8.205622673034668,0.024782180786132812
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 22269.wav,7.624796458653042,7.768680572509766,0.14388411385672395
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 15276.wav,7.592043195452009,7.566104888916016,0.02593830653599305
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 19147.wav,7.184030669076103,7.2397966384887695,0.05576596941266665
/home/pixaverse.admin/shashank/datset_download/degraded_samples/sample_ 13880.wav,8.463264874049596,8.412036895751953,0.05122797829764281
